Dataset: ;Municipal waste by waste management operations [env_wasmun];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;21/08/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waste management operations;;Recycling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
Poland;201;;219;;369;;235;;243;;261;;456;;331;;274;;477;;685;;845;;943;;1.281;;1.585;b;1.964;;1.383;;1.446;;1.711;;2.740;be;3.528;e;4.057;e;4.047;e;4.281;e;4.345;e;5.077;;5.505;
Portugal;342;;364;;399;;432;;472;;496;;560;;347;b;513;;628;;719;;777;;849;b;949;;1.072;;1.018;;1.041;;1.243;;1.187;;1.430;;1.423;;1.513;;1.458;;1.519;;1.526;;1.413;;1.617;
Romania;0;;0;;0;;0;;0;;0;;123;;170;;17;b;84;;145;;41;;37;;75;;82;;811;b;610;;745;;670;;648;;650;;689;;745;;586;;623;;663;;654;
Slovenia;24;;62;s;70;s;110;;69;s;61;s;26;;73;;105;;198;;184;;160;;232;;207;;209;;225;;304;;313;;297;;321;;501;be;523;e;563;e;594;;623;;607;;655;
Slovakia;44;s;41;s;74;e;66;;67;;71;;70;;69;;84;;86;;30;b;61;;104;;124;;137;;157;;183;;222;;177;;180;;266;;434;;614;;818;;886;;1.184;;1.323;
Finland;709;;706;;773;;807;;840;;874;;811;;801;;816;;825;;842;;874;;953;;949;;920;;827;;947;;912;;872;;856;;1.111;b;1.164;;1.140;;1.286;;1.357;;1.419;;1.361;
Sweden;895;;1.050;;1.198;;1.355;;1.414;;1.451;;1.523;;1.649;;1.717;;1.819;;1.929;;2.127;;2.082;;2.043;;2.159;;1.979;;2.009;;2.026;;2.108;;2.119;;2.103;;2.149;;2.130;;2.024;;2.150;;1.707;b;1.720;
Iceland;9;;11;;10;;13;;16;;20;;21;;22;;23;;:;;:;;:;;:;;40;;27;;32;;40;;46;;50;;52;;55;;73;;58;;68;;:;;59;;65;
Norway;373;;549;;671;;640;;781;;843;;723;b;807;;840;;695;;774;;863;;986;;1.013;;975;;967;;959;;953;;987;;918;b;936;;1.509;b;1.532;;1.598;;1.696;;1.330;b;1.651;
Switzerland;1.640;;1.765;;1.824;;1.909;;1.955;;2.141;;2.234;;2.306;;2.336;;2.386;;2.500;;2.670;;2.785;;2.823;;2.801;;2.808;;2.746;;2.790;e;2.910;e;3.216;be;3.180;e;3.174;e;3.146;e;3.156;e;3.222;e;3.221;;3.267;
United Kingdom;:;;:;;:;;:;;:;;3.773;b;4.318;;5.156;;6.385;;8.156;;9.369;;10.733;;11.696;;12.177;;12.457;;12.855;;13.056;;12.961;;13.353;;13.510;;13.630;;13.938;;13.531;;13.577;;:;;:;;:;
Bosnia and Herzegovina;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;:;;:;;:;;:;
Montenegro;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;12;e;18;e;14;e;15;e
North Macedonia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;0;;:;;:;;0;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Albania;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;190;;164;
Serbia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;0;;0;;0;;0;;0;;0;;0;;25;;15;;14;;5;;6;;6;;:;;455;;507;
Türkiye;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;3.092;b;3.130;e;3.971;;4.027;e;4.264;;4.318;e
Kosovo*;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;0;;12;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
be;break in time series, estimated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s;Eurostat estimate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
