freq,indic_env,wst_oper,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,CAP,DSP_I,DE2	4926238 	4786905 	3638525 	3926383 	3495554 	1707001 	797309 	794585 	644590 
A,CAP,DSP_I,DE21	2941925 	2615310 	1958084 	2168419 	1986323 	1010037 	607721 	607721 	597726 
A,CAP,DSP_I,DE22	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE23	: c	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE24	: c	: c	: c	: c	0 	0 	: c	: c	0 
A,CAP,DSP_I,DE25	258220 	220364 	232364 	227564 	230364 	: c	: c	: c	: c
A,CAP,DSP_I,DE26	359056 	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE27	617537 	538731 	533000 	560600 	592200 	460600 	: c	: c	: c
A,CAP,DSP_I,DE3	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE30	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE4	161682 	165200 	130650 	121090 	117500 	119500 	119500 	119500 	115500 
A,CAP,DSP_I,DE40	: 	: 	: 	121090 	117500 	119500 	119500 	119500 	115500 
A,CAP,DSP_I,DE41	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DE42	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DE5	1278600 	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE50	1278600 	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE6	1013000 	1275000 	1332000 	1309000 	799000 	819000 	: c	178000 	: c
A,CAP,DSP_I,DE60	1013000 	1275000 	1332000 	1309000 	799000 	819000 	: c	178000 	: c
A,CAP,DSP_I,DE7	1170104 	1218144 	1451144 	1730314 	1729714 	592714 	602714 	608714 	548714 
A,CAP,DSP_I,DE71	: c	: c	: c	: c	: c	592714 	602714 	608714 	548714 
A,CAP,DSP_I,DE72	: c	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DE73	: c	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE8	: 	: c	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DE80	: 	: c	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DE9	: c	1379700 	1269850 	1158650 	1231980 	1200880 	25880 	25880 	46230 
A,CAP,DSP_I,DE91	: c	: c	: c	: c	: c	: c	0 	0 	0 
A,CAP,DSP_I,DE92	: c	: c	0 	0 	: c	: c	0 	0 	0 
A,CAP,DSP_I,DE93	: c	106700 	: c	: c	106980 	75880 	: c	: c	: c
A,CAP,DSP_I,DE94	: c	273000 	641000 	528000 	: c	: c	: c	: c	: c
A,CAP,DSP_I,DEA	5431768 	5623224 	5604490 	4873436 	4616536 	5123836 	4531836 	1270056 	1307056 
A,CAP,DSP_I,DEA1	2540296 	2750000 	2783120 	2693000 	2645000 	2878000 	2108000 	: c	: c
A,CAP,DSP_I,DEA2	1140060 	969980 	1029370 	556380 	981480 	1198780 	1284780 	: c	: c
A,CAP,DSP_I,DEA3	541492 	: c	: c	1435056 	540056 	: c	660056 	360056 	360056 
A,CAP,DSP_I,DEA4	332580 	: c	: c	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DEA5	877340 	1016552 	905000 	189000 	450000 	: c	479000 	478500 	478500 
A,CAP,DSP_I,DEB	570000 	: c	: c	: c	: c	: c	421300 	: c	: c
A,CAP,DSP_I,DEB1	: 	0 	0 	0 	0 	0 	: c	0 	0 
A,CAP,DSP_I,DEB2	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DEB3	570000 	400000 	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DEC	: c	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DEC0	: 	: 	: 	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DED	: c	: c	0 	0 	0 	0 	0 	0 	: c
A,CAP,DSP_I,DED1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DED2	: c	: c	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DED3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DED4	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DED5	: 	: 	: 	0 	0 	0 	0 	0 	: c
A,CAP,DSP_I,DEE	: 	0 	: c	792000 	372000 	372000 	360167 	525200 	: c
A,CAP,DSP_I,DEE0	: 	0 	: c	792000 	372000 	372000 	360167 	525200 	: c
A,CAP,DSP_I,DEF	731260 	743104 	777127 	774000 	629000 	631000 	: c	: c	595000 
A,CAP,DSP_I,DEF0	731260 	743104 	777127 	774000 	629000 	631000 	: c	: c	595000 
A,CAP,DSP_I,DEG	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DEG0	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DK	: 	3450000 e	256584 	256584 	231418 	231418 	3418 	186000 	186000 
A,CAP,DSP_I,DK0	: 	: 	: 	256584 	231418 	231418 	3418 	186000 	186000 
A,CAP,DSP_I,DK01	: 	: 	25166 	25166 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DK02	: 	: 	3418 	3418 	3418 	3418 	3418 	6000 	6000 
A,CAP,DSP_I,DK03	: 	: 	160000 	160000 	160000 	160000 	0 	180000 	180000 
A,CAP,DSP_I,DK04	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,DK05	: 	: 	68000 	68000 	68000 	68000 	0 	0 	0 
A,CAP,DSP_I,EE	2457 s	41 	0 	21 	56 e	20 	60 	50 	5 e
A,CAP,DSP_I,EE0	: 	: 	: 	21 	56 e	20 	60 	50 	5 e
A,CAP,DSP_I,EE00	: 	: 	: 	21 	56 e	20 	60 	50 	5 e
A,CAP,DSP_I,EL	: 	13067 	14903 	21299 	21078 	21078 	21078 	26022 	26398 e
A,CAP,DSP_I,EL1	: 	35 	2751 	7343 	7344 	: 	: 	: 	: 
A,CAP,DSP_I,EL11	: 	: 	718 	1879 	1879 	: 	: 	: 	: 
A,CAP,DSP_I,EL12	: 	: c	932 	3107 	3108 	: 	: 	: 	: 
A,CAP,DSP_I,EL13	: 	: 	228 	378 	378 	: 	: 	: 	: 
A,CAP,DSP_I,EL14	: 	: 	873 	1979 	1979 	: 	: 	: 	: 
A,CAP,DSP_I,EL2	: 	: 	5577 	9674 	10054 	: 	: 	: 	: 
A,CAP,DSP_I,EL21	: 	: 	232 	3195 	3347 	: 	: 	: 	: 
A,CAP,DSP_I,EL22	: 	: 	43 	55 	55 	: 	: 	: 	: 
A,CAP,DSP_I,EL23	: 	: 	287 	412 	425 	: 	: 	: 	: 
A,CAP,DSP_I,EL24	: 	: 	4812 	510 	725 	: 	: 	: 	: 
A,CAP,DSP_I,EL25	: 	: 	203 	5502 	5502 	: 	: 	: 	: 
A,CAP,DSP_I,EL3	: 	11032 	4487 	3976 	3374 	3374 	3374 	4129 	4129 e
A,CAP,DSP_I,EL30	: 	: c	4487 	3976 	3374 	3374 	3374 	4129 	4129 e
A,CAP,DSP_I,EL4	: 	2000 	2088 	306 	306 	306 	306 	875 	851 e
A,CAP,DSP_I,EL41	: 	: 	96 	21 	21 	21 	21 	123 	123 e
A,CAP,DSP_I,EL42	: 	: 	135 	140 	140 	140 	140 	578 	578 e
A,CAP,DSP_I,EL43	: 	: c	1857 	145 	145 	145 	145 	174 	149 e
A,CAP,DSP_I,EL5	: 	: 	: 	: 	: 	8712 	8712 	12058 	11047 e
A,CAP,DSP_I,EL51	: 	: 	: 	: 	: 	1879 	1879 	3845 	3309 e
A,CAP,DSP_I,EL52	: 	: 	: 	: 	: 	3108 	3108 	4057 	3835 e
A,CAP,DSP_I,EL53	: 	: 	: 	: 	: 	378 	378 	504 	252 e
A,CAP,DSP_I,EL54	: 	: 	: 	: 	: 	3347 	3347 	3651 	3651 e
A,CAP,DSP_I,EL6	: 	: 	: 	: 	: 	8686 	8686 	8960 	10371 e
A,CAP,DSP_I,EL61	: 	: 	: 	: 	: 	1979 	1979 	2213 	2015 e
A,CAP,DSP_I,EL62	: 	: 	: 	: 	: 	55 	55 	55 	55 e
A,CAP,DSP_I,EL63	: 	: 	: 	: 	: 	425 	425 	669 	514 e
A,CAP,DSP_I,EL64	: 	: 	: 	: 	: 	725 	725 	516 	630 e
A,CAP,DSP_I,EL65	: 	: 	: 	: 	: 	5502 	5502 	5507 	7158 e
A,CAP,DSP_I,ES	769517 	1348121 	102732 	152446 	217466 	226359 	239232 e	239023 e	271415 
A,CAP,DSP_I,ES1	: 	19000 	3940 	2797 	: c	: c	: c	: c	3132 
A,CAP,DSP_I,ES11	0 	0 	: 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,ES12	1000 	1000 	: c	: c	: c	: c	: c	: c	3132 
A,CAP,DSP_I,ES13	18000 	18000 	: c	: c	: c	: c	0 	0 	0 
A,CAP,DSP_I,ES2	: 	882 	1404 	: c	7184 	4400 	: c	: c	94603 
A,CAP,DSP_I,ES21	882 	882 e	: 	: c	2784 	0 	0 	0 	0 
A,CAP,DSP_I,ES22	0 	0 	: c	0 	0 	0 	0 	: c	0 
A,CAP,DSP_I,ES23	0 	0 	: c	: c	: c	: c	: c	0 	0 
A,CAP,DSP_I,ES24	0 	0 	: 	0 	0 	0 	1145 	1145 e	94603 
A,CAP,DSP_I,ES3	: 	0 	: 	0 	0 	0 	5694 	0 	5718 
A,CAP,DSP_I,ES30	0 	0 	: 	0 	0 	0 	5694 	0 	5718 
A,CAP,DSP_I,ES4	: 	38966 	: c	: c	13150 	190 	492 	492 	0 
A,CAP,DSP_I,ES41	0 	0 e	: 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,ES42	0 	26006 	: 	0 	: c	: c	492 	492 	0 
A,CAP,DSP_I,ES43	0 	12960 	: c	: c	: c	: c	0 	0 	0 
A,CAP,DSP_I,ES5	: 	763177 	84428 	84440 	193449 	211160 	: c	: c	165597 
A,CAP,DSP_I,ES51	747454 	759980 	26897 	27174 	135767 	153478 	160477 	164967 	164967 
A,CAP,DSP_I,ES52	2181 	3011 	: c	57266 	57682 	57682 	: c	: c	630 
A,CAP,DSP_I,ES53	0 	186 	: c	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,ES6	: 	526096 	: 	: c	886 	1370 	: c	: c	2190 
A,CAP,DSP_I,ES61	0 	526096 e	: 	169 	886 	1370 	3235 	2065 	2190 
A,CAP,DSP_I,ES62	0 	0 	: 	0 	0 	0 	0 	6803 e	0 
A,CAP,DSP_I,ES63	0 	0 	: 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,ES64	0 	0 	: 	: c	0 	0 	: c	: c	0 
A,CAP,DSP_I,ES7	: 	0 	: 	0 	0 	0 	: c	: c	175 
A,CAP,DSP_I,ES70	0 	0 	: 	0 	0 	0 	: c	: c	175 
A,CAP,DSP_I,EU27_2020	: 	37060000 	33650000 	27910000 	29530000 	24400000 	22110000 	20360000 	15290000 s
A,CAP,DSP_I,EU28	32240000 	46210000 	42770000 	35800000 	37920000 	34260000 	30580000 	32620000 	: 
A,CAP,DSP_I,FI	355000 	67000 	: 	479000 	604665 e	604665 e	: 	97603 e	: 
A,CAP,DSP_I,FI1	355000 	67000 	: 	479000 	604665 e	604665 e	: 	97603 e	: 
A,CAP,DSP_I,FI13	30000 	17000 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,FI18	305000 	50000 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,FI19	0 	0 	: 	: 	: c	: c	: 	4421 e	: 
A,CAP,DSP_I,FI1A	20000 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,FI1B	: 	: 	: 	: 	: c	: c	: 	: c	: 
A,CAP,DSP_I,FI1C	: 	: 	: 	476384 	: c	: c	: 	: c	: 
A,CAP,DSP_I,FI1D	: 	: 	: 	: 	39946 e	39946 e	: 	: c	: 
A,CAP,DSP_I,FI2	0 	0 	0 	0 	0 e	0 e	: 	0 	: 
A,CAP,DSP_I,FI20	0 	0 	0 	0 	0 e	0 e	: 	0 	: 
A,CAP,DSP_I,FR	: 	0 	: 	: 	0 	0 	4495380 	2698000 	1624800 
A,CAP,DSP_I,FR1	: 	0 	: 	: 	0 	0 	651000 	366000 	123000 
A,CAP,DSP_I,FR10	: 	: 	: 	: 	0 	0 	651000 	366000 	123000 
A,CAP,DSP_I,FR2	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR21	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR22	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR23	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR24	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR25	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR26	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR3	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR4	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR41	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR42	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR43	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR5	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR51	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR52	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR53	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR6	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR61	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR62	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR63	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR7	: 	0 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR71	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR72	: 	: 	: 	: 	0 	0 	: 	: 	: 
A,CAP,DSP_I,FR8	: 	0 	: 	: 	0 	0 	: 	: 	: 
