freq,indic_env,wst_oper,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,CAP,DSP_L_OTH,PL34	0 	: 	121600 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL4	0 	0 	10220 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL41	0 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL42	0 	: 	10220 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL43	0 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL5	4800 	9950 	76262 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL51	2300 	7450 	73762 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL52	2500 	2500 	2500 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL6	0 	0 	149752 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL61	0 	: 	30200 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL62	0 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PL63	0 	: 	119552 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT1	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT11	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT15	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT16	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT17	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT18	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT2	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT20	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT3	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,PT30	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO01	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO02	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO03	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO04	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO05	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO06	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO07	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO08	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO11	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO12	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO21	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO22	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO31	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO32	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO41	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,RO42	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE	4123 	888375 	116000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE1	: 	265500 	12600 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE11	: 	203000 	1600 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE12	: 	62500 	11000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE2	: 	301430 	88000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE21	: 	91500 	7000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE22	: 	4500 	26000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE23	: 	205430 	55000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE3	: 	321445 	15400 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE31	: 	291445 	8100 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE32	: 	23500 	3900 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SE33	: 	6500 	3400 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SI	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SI01	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SI02	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SK	0 	20000 	265000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SK01	0 	0 	100000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SK02	0 	0 	28000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SK03	0 	0 	55000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,SK04	0 	20000 	82000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR10	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR2	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR21	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR22	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR3	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR31	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR32	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR33	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR4	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR41	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR42	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR5	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR51	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR52	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR6	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR61	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR62	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR63	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR7	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR71	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR72	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR8	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR81	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR82	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR83	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR9	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TR90	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRA	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRA1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRA2	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRB	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRB1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRB2	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRC	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRC1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRC2	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,TRC3	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UK	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKC	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKC1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKC2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKD5	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKE	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKE1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKE2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKE3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKE4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKF	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKF1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKF2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKF3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKG	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKG1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKG2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKG3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKH	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKH1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKH2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKH3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKI	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKI1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKI2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKJ	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKJ1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKJ2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKJ3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKJ4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKK	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKK1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKK2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKK3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKK4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKL	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKL1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKL2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKM	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKM2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKM3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKM5	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKM6	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKN	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_L_OTH,UKN0	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT11	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT12	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT13	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT2	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT21	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT22	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT3	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT31	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT32	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT33	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,AT34	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE1	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE10	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE21	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE22	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE23	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE24	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE25	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE3	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE31	0 s	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE32	0 s	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE33	0 s	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE34	0 s	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BE35	0 s	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG	: 	0 	2402 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG3	: 	0 	300 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG31	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG32	: 	0 	200 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG33	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG34	: 	0 	100 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG4	: 	0 	2102 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG41	: 	0 	2100 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,BG42	: 	0 	2 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,CY	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,CZ	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE	1536250 	1305508 	450910 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE1	150000 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE11	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE12	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE13	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE14	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE2	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE21	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE22	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE23	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE24	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE25	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE26	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE27	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE3	: c	: c	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE30	: c	: c	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE41	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE42	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE5	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE50	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE6	561000 	708000 	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE60	561000 	708000 	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE7	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE71	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE72	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE73	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE8	68000 	64500 	75300 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE80	68000 	64500 	75300 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE9	76000 	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE91	: 	0 	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE92	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE93	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DE94	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA1	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA3	: 	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA4	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEA5	: c	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEB	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEB1	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEB2	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEB3	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEC	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED	155200 	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED1	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED2	: c	: c	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED3	: c	: c	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED4	121200 	8000 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DED5	8000 	8000 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEE	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEE0	: 	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEE1	: c	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEF	: c	174000 	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEF0	: c	174000 	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEG	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DEG0	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK01	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK02	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK03	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK04	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,DK05	: 	0 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EE	4017 s	221 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL	: 	2392961 	2156598 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL1	: 	24193 	23296 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL11	: 	: c	20200 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL12	: 	444 	2732 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL13	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL14	: 	: c	364 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL2	: 	2368742 	2131298 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL21	: 	: c	188 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL22	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL23	: 	55 	555 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL24	: 	2368233 	2130350 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL25	: 	: c	205 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL3	: 	6 	4 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL30	: 	: c	4 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL4	: 	20 	2000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL41	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL42	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,EL43	: 	: c	2000 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES	2375000 	171 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES1	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES11	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES12	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES13	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES2	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES21	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES22	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES23	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES24	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES3	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES30	2375000 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES4	: 	27 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES41	0 	0 e	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES42	0 	27 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES43	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES5	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES51	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES52	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES53	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES6	: 	144 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES61	0 	144 e	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES62	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_OTH,ES63	0 	0 	: 	: 	: 	: 	: 	: 	: 
