freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF1,T_HAB,FI	0.035 s	0.044 s	0.053 s	0.05 s	0.048 s	0.025 s	0.002 s	0.002 s	0.002 s	0.003 s	0.004 s	0.001 s	0.001 s
A,DSP_I,MF1,T_HAB,FR	0.069 s	0.065 s	0.061 s	0.055 s	0.049 s	0.044 s	0.039 s	0.034 s	0.03 s	0.031 s	0.031 s	0.021 s	0.017 s
A,DSP_I,MF1,T_HAB,HR	0.003 s	0.002 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,T_HAB,HU	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF1,T_HAB,IE	0.005 s	0.002 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,T_HAB,IT	0.037 s	0.035 s	0.032 s	0.032 s	0.032 s	0.024 s	0.017 s	0.011 s	0.005 s	0.004 s	0.002 s	0.002 s	0.002 s
A,DSP_I,MF1,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0.001 s	0.001 s
A,DSP_I,MF1,T_HAB,LU	0.147 s	0.147 s	0.147 s	0.072 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,T_HAB,MT	0.017 s	0.015 s	0.013 s	0.013 s	0.013 s	0.012 s	0.011 s	0.01 s	0.009 s	0.01 s	0.011 s	0.009 s	0.009 s
A,DSP_I,MF1,T_HAB,NL	0.13 s	0.094 s	0.057 s	0.052 s	0.046 s	0.046 s	0.047 s	0.044 s	0.041 s	0.044 s	0.047 s	0.043 s	0.042 s
