freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I_RCV_E,MF3,T_HAB,IE	0.002 s	0.003 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.012 s	0.019 s	0.018 s	0.017 s	0.019 s	0.021 s
A,DSP_I_RCV_E,MF3,T_HAB,IT	0.009 s	0.009 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.007 s	0.008 s	0.009 s
A,DSP_I_RCV_E,MF3,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I_RCV_E,MF3,T_HAB,LU	0.03 s	0.03 s	0.031 s	0.029 s	0.027 s	0.029 s	0.031 s	0.03 s	0.03 s	0.033 s	0.035 s	0.042 s	0.045 s
A,DSP_I_RCV_E,MF3,T_HAB,LV	0.002 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF3,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF3,T_HAB,NL	0.049 s	0.052 s	0.055 s	0.053 s	0.052 s	0.053 s	0.053 s	0.048 s	0.044 s	0.041 s	0.039 s	0.046 s	0.045 s
A,DSP_I_RCV_E,MF3,T_HAB,PL	0.002 s	0.002 s	0.002 s	0.004 s	0.007 s	0.008 s	0.01 s	0.01 s	0.01 s	0.008 s	0.006 s	0.011 s	0.012 s
A,DSP_I_RCV_E,MF3,T_HAB,PT	0.014 s	0.013 s	0.011 s	0.012 s	0.012 s	0.012 s	0.012 s	0.01 s	0.009 s	0.011 s	0.013 s	0.01 s	0.01 s
A,DSP_I_RCV_E,MF3,T_HAB,RO	0.003 s	0.004 s	0.006 s	0.004 s	0.002 s	0.002 s	0.003 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s
A,DSP_I_RCV_E,MF3,T_HAB,SE	0.051 s	0.058 s	0.065 s	0.062 s	0.058 s	0.073 s	0.086 s	0.076 s	0.067 s	0.071 s	0.076 s	0.08 s	0.083 s
A,DSP_I_RCV_E,MF3,T_HAB,SI	0.013 s	0.013 s	0.014 s	0.013 s	0.012 s	0.013 s	0.013 s	0.013 s	0.013 s	0.013 s	0.012 s	0.013 s	0.013 s
A,DSP_I_RCV_E,MF3,T_HAB,SK	0.005 s	0.005 s	0.005 s	0.005 s	0.006 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.006 s
A,DSP_I_RCV_E,MF4,THS_T,AT	523 s	492 s	462 s	492 s	492 s	492 s	492 s	492 s	492 s	492 s	492 s	492 s	492 s
A,DSP_I_RCV_E,MF4,THS_T,BE	959 s	1106 s	1254 s	1163 s	1073 s	987 s	901 s	944 s	986 s	823 s	660 s	793 s	779 s
A,DSP_I_RCV_E,MF4,THS_T,BG	15 s	20 s	26 s	27 s	28 s	41 s	53 s	32 s	11 s	26 s	40 s	37 s	38 s
A,DSP_I_RCV_E,MF4,THS_T,CY	4 s	2 s	0 s	5 s	10 s	8 s	5 s	7 s	8 s	6 s	3 s	7 s	8 s
A,DSP_I_RCV_E,MF4,THS_T,CZ	213 s	218 s	224 s	233 s	243 s	250 s	257 s	275 s	293 s	304 s	315 s	321 s	332 s
A,DSP_I_RCV_E,MF4,THS_T,DE	5370 s	5448 s	5527 s	5621 s	5715 s	5718 s	5722 s	5677 s	5631 s	5377 s	5122 s	5845 s	6016 s
A,DSP_I_RCV_E,MF4,THS_T,DK	611 s	621 s	630 s	620 s	610 s	588 s	566 s	561 s	556 s	541 s	525 s	523 s	513 s
A,DSP_I_RCV_E,MF4,THS_T,EE	5 s	4 s	3 s	21 s	39 s	42 s	45 s	44 s	43 s	40 s	38 s	56 s	60 s
A,DSP_I_RCV_E,MF4,THS_T,EL	15 s	12 s	8 s	9 s	10 s	13 s	15 s	19 s	23 s	23 s	23 s	24 s	26 s
A,DSP_I_RCV_E,MF4,THS_T,ES	526 s	532 s	539 s	541 s	542 s	522 s	501 s	512 s	522 s	551 s	581 s	551 s	562 s
A,DSP_I_RCV_E,MF4,THS_T,EU27_2020	18699 s	18936 s	19174 s	19291 s	19378 s	19651 s	19923 s	20143 s	20362 s	19740 s	19135 s	20751 s	21191 s
A,DSP_I_RCV_E,MF4,THS_T,FI	803 s	659 s	514 s	495 s	476 s	492 s	509 s	545 s	581 s	627 s	674 s	563 s	564 s
A,DSP_I_RCV_E,MF4,THS_T,FR	4468 s	4387 s	4305 s	4320 s	4334 s	4489 s	4643 s	4671 s	4699 s	4782 s	4864 s	4856 s	4909 s
A,DSP_I_RCV_E,MF4,THS_T,HR	24 s	18 s	12 s	12 s	12 s	10 s	8 s	13 s	17 s	21 s	24 s	19 s	21 s
A,DSP_I_RCV_E,MF4,THS_T,HU	162 s	208 s	253 s	268 s	284 s	245 s	206 s	214 s	223 s	229 s	236 s	239 s	241 s
A,DSP_I_RCV_E,MF4,THS_T,IE	51 s	56 s	61 s	62 s	63 s	60 s	58 s	119 s	179 s	156 s	134 s	165 s	178 s
A,DSP_I_RCV_E,MF4,THS_T,IT	1415 s	1369 s	1322 s	1290 s	1258 s	1237 s	1217 s	1197 s	1178 s	1126 s	1073 s	1172 s	1217 s
A,DSP_I_RCV_E,MF4,THS_T,LT	8 s	9 s	11 s	8 s	6 s	6 s	7 s	11 s	15 s	19 s	23 s	18 s	20 s
A,DSP_I_RCV_E,MF4,THS_T,LU	43 s	43 s	43 s	44 s	45 s	40 s	35 s	35 s	34 s	33 s	32 s	38 s	39 s
A,DSP_I_RCV_E,MF4,THS_T,LV	33 s	23 s	13 s	13 s	13 s	10 s	7 s	11 s	15 s	16 s	17 s	15 s	16 s
A,DSP_I_RCV_E,MF4,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF4,THS_T,NL	1470 s	1536 s	1602 s	1516 s	1430 s	1460 s	1490 s	1435 s	1381 s	1312 s	1244 s	1390 s	1394 s
A,DSP_I_RCV_E,MF4,THS_T,PL	193 s	199 s	206 s	319 s	433 s	523 s	612 s	673 s	733 s	566 s	400 s	713 s	758 s
A,DSP_I_RCV_E,MF4,THS_T,PT	240 s	216 s	192 s	200 s	208 s	200 s	191 s	347 s	502 s	360 s	218 s	353 s	368 s
A,DSP_I_RCV_E,MF4,THS_T,RO	175 s	167 s	158 s	156 s	154 s	161 s	167 s	174 s	181 s	172 s	163 s	172 s	174 s
A,DSP_I_RCV_E,MF4,THS_T,SE	1274 s	1498 s	1723 s	1766 s	1809 s	1964 s	2120 s	2045 s	1971 s	2058 s	2162 s	2308 s	2386 s
A,DSP_I_RCV_E,MF4,THS_T,SI	47 s	45 s	44 s	44 s	44 s	48 s	53 s	48 s	43 s	36 s	30 s	39 s	39 s
A,DSP_I_RCV_E,MF4,THS_T,SK	50 s	47 s	44 s	46 s	48 s	45 s	42 s	43 s	44 s	43 s	42 s	42 s	43 s
A,DSP_I_RCV_E,MF4,T_HAB,AT	0.063 s	0.059 s	0.055 s	0.058 s	0.058 s	0.057 s	0.056 s	0.056 s	0.056 s	0.055 s	0.055 s	0.055 s	0.054 s
A,DSP_I_RCV_E,MF4,T_HAB,BE	0.088 s	0.1 s	0.113 s	0.104 s	0.096 s	0.088 s	0.08 s	0.083 s	0.086 s	0.072 s	0.057 s	0.068 s	0.067 s
A,DSP_I_RCV_E,MF4,T_HAB,BG	0.002 s	0.003 s	0.004 s	0.004 s	0.004 s	0.006 s	0.007 s	0.005 s	0.002 s	0.004 s	0.006 s	0.005 s	0.006 s
A,DSP_I_RCV_E,MF4,T_HAB,CY	0.005 s	0.003 s	0 s	0.006 s	0.012 s	0.009 s	0.006 s	0.008 s	0.01 s	0.007 s	0.004 s	0.008 s	0.008 s
A,DSP_I_RCV_E,MF4,T_HAB,CZ	0.02 s	0.021 s	0.021 s	0.022 s	0.023 s	0.024 s	0.024 s	0.026 s	0.028 s	0.029 s	0.029 s	0.031 s	0.031 s
A,DSP_I_RCV_E,MF4,T_HAB,DE	0.066 s	0.068 s	0.069 s	0.07 s	0.071 s	0.07 s	0.069 s	0.069 s	0.068 s	0.065 s	0.062 s	0.07 s	0.072 s
A,DSP_I_RCV_E,MF4,T_HAB,DK	0.11 s	0.111 s	0.113 s	0.11 s	0.108 s	0.103 s	0.099 s	0.097 s	0.096 s	0.093 s	0.09 s	0.089 s	0.087 s
A,DSP_I_RCV_E,MF4,T_HAB,EE	0.004 s	0.003 s	0.002 s	0.016 s	0.03 s	0.032 s	0.034 s	0.033 s	0.032 s	0.03 s	0.029 s	0.042 s	0.045 s
A,DSP_I_RCV_E,MF4,T_HAB,EL	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.003 s
A,DSP_I_RCV_E,MF4,T_HAB,ES	0.011 s	0.011 s	0.012 s	0.012 s	0.012 s	0.011 s	0.011 s	0.011 s	0.011 s	0.012 s	0.012 s	0.012 s	0.012 s
A,DSP_I_RCV_E,MF4,T_HAB,EU27_2020	0.042 s	0.043 s	0.043 s	0.044 s	0.044 s	0.044 s	0.045 s	0.045 s	0.046 s	0.044 s	0.043 s	0.046 s	0.047 s
A,DSP_I_RCV_E,MF4,T_HAB,FI	0.15 s	0.122 s	0.095 s	0.091 s	0.087 s	0.09 s	0.093 s	0.099 s	0.105 s	0.114 s	0.122 s	0.102 s	0.101 s
A,DSP_I_RCV_E,MF4,T_HAB,FR	0.069 s	0.067 s	0.066 s	0.066 s	0.065 s	0.067 s	0.07 s	0.07 s	0.07 s	0.071 s	0.072 s	0.072 s	0.072 s
A,DSP_I_RCV_E,MF4,T_HAB,HR	0.006 s	0.004 s	0.003 s	0.003 s	0.003 s	0.002 s	0.002 s	0.003 s	0.004 s	0.005 s	0.006 s	0.005 s	0.005 s
A,DSP_I_RCV_E,MF4,T_HAB,HU	0.016 s	0.021 s	0.025 s	0.027 s	0.029 s	0.025 s	0.021 s	0.022 s	0.023 s	0.023 s	0.024 s	0.025 s	0.025 s
A,DSP_I_RCV_E,MF4,T_HAB,IE	0.011 s	0.012 s	0.013 s	0.013 s	0.013 s	0.013 s	0.012 s	0.025 s	0.037 s	0.032 s	0.027 s	0.033 s	0.035 s
A,DSP_I_RCV_E,MF4,T_HAB,IT	0.024 s	0.023 s	0.022 s	0.021 s	0.021 s	0.02 s	0.02 s	0.02 s	0.019 s	0.019 s	0.018 s	0.02 s	0.021 s
A,DSP_I_RCV_E,MF4,T_HAB,LT	0.003 s	0.003 s	0.004 s	0.003 s	0.002 s	0.002 s	0.002 s	0.004 s	0.005 s	0.007 s	0.008 s	0.007 s	0.007 s
A,DSP_I_RCV_E,MF4,T_HAB,LU	0.084 s	0.083 s	0.081 s	0.081 s	0.081 s	0.07 s	0.06 s	0.058 s	0.056 s	0.053 s	0.05 s	0.06 s	0.06 s
A,DSP_I_RCV_E,MF4,T_HAB,LV	0.016 s	0.011 s	0.006 s	0.006 s	0.006 s	0.005 s	0.004 s	0.006 s	0.008 s	0.009 s	0.009 s	0.008 s	0.008 s
A,DSP_I_RCV_E,MF4,T_HAB,MT	0.001 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF4,T_HAB,NL	0.088 s	0.092 s	0.096 s	0.09 s	0.085 s	0.086 s	0.088 s	0.084 s	0.08 s	0.076 s	0.071 s	0.079 s	0.079 s
A,DSP_I_RCV_E,MF4,T_HAB,PL	0.005 s	0.005 s	0.005 s	0.008 s	0.011 s	0.014 s	0.016 s	0.018 s	0.019 s	0.015 s	0.011 s	0.019 s	0.021 s
A,DSP_I_RCV_E,MF4,T_HAB,PT	0.023 s	0.02 s	0.018 s	0.019 s	0.02 s	0.019 s	0.019 s	0.034 s	0.049 s	0.035 s	0.021 s	0.034 s	0.035 s
A,DSP_I_RCV_E,MF4,T_HAB,RO	0.009 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.009 s	0.009 s	0.009 s	0.008 s	0.009 s	0.009 s
A,DSP_I_RCV_E,MF4,T_HAB,SE	0.136 s	0.159 s	0.181 s	0.184 s	0.187 s	0.2 s	0.214 s	0.203 s	0.194 s	0.2 s	0.209 s	0.222 s	0.228 s
A,DSP_I_RCV_E,MF4,T_HAB,SI	0.023 s	0.022 s	0.021 s	0.021 s	0.021 s	0.023 s	0.026 s	0.023 s	0.021 s	0.017 s	0.014 s	0.019 s	0.018 s
A,DSP_I_RCV_E,MF4,T_HAB,SK	0.009 s	0.009 s	0.008 s	0.009 s	0.009 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s	0.008 s
A,DSP_I_RCV_E,MF5,THS_T,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF5,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I_RCV_E,MF6,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
