Year,geo,geo_long,avg_CO2_g_per_km,count_prem_deaths,units_CO2_equivalents,million_euros
2014,FR,France,114.2,22689,409940.5452,2739.0
2014,HR,Croatia,115.8,3771,18151.10474,685.0
2014,IT,Italy,118.1,45701,393484.6152,1731.0
2014,CY,Cyprus,129.8,619,8061.3367,
2014,LV,Latvia,140.4,1779,12137.31952,
2014,LT,Lithuania,135.8,2819,11103.56916,
2014,LU,Luxembourg,129.9,183,10362.84354,
2014,HU,Hungary,133,10758,53890.69367,24.0
2014,MT,Malta,115.3,163,2803.03424,
2014,NL,Netherlands,107.3,8598,192931.2677,7.0
2014,AT,Austria,128.5,4283,69050.39247,0.0
2014,PL,Poland,132.9,45114,348084.1715,8.0
2014,PT,Portugal,108.8,2622,59065.26235,0.0
2014,RO,Romania,128.2,22039,67009.77082,551.0
2014,SI,Slovenia,121.3,1306,17435.14891,1313.0
2014,SK,Slovakia,131.7,4878,34957.28946,
2014,FI,Finland,127.4,883,37814.98498,
2014,SE,Sweden,131,1646,5804.53079,200.0
2014,UK,United Kingdom,124.6,,,
2015,BE,Belgium,117.9,6210,118134.1474,
2015,BG,Bulgaria,130.3,14669,52804.66766,1117.0
2015,CZ,Czechia,126.3,9245,122348.1756,
2015,DK,Denmark,106.2,1843,50507.33769,
2015,DE,Germany,128.3,49696,885486.2939,2755.0
2015,EE,Estonia,137.2,213,17188.67,
2015,IE,Ireland,114.1,393,67983.43709,239.0
2015,GR,Greece,106.4,,,
2015,ES,Spain,115.3,22200,289064.8929,187.0
2015,FR,France,111,28175,417482.9341,772.0
2015,HR,Croatia,112.8,4665,18912.64932,180.0
2015,IT,Italy,115.2,60986,401771.6741,2923.0
2015,CY,Cyprus,125.7,711,8115.40751,
2015,LV,Latvia,137.1,1245,10920.70822,
2015,LT,Lithuania,130,2110,12236.62894,
2015,LU,Luxembourg,127.5,200,9944.66546,
2015,HU,Hungary,129.6,13030,56513.39645,28.0
2015,MT,Malta,113.3,200,2125.35084,
2015,NL,Netherlands,101.2,7680,199875.964,28.0
2015,AT,Austria,123.7,4895,72321.36595,0.0
2015,PL,Poland,129.3,44471,354798.0596,6.0
2015,PT,Portugal,105.7,3943,64540.40188,6.0
2015,RO,Romania,125,23999,66802.02894,3291.0
2015,SI,Slovenia,119.2,1660,17720.90628,
2015,SK,Slovakia,127.6,5130,35170.09094,
2015,FI,Finland,123,225,38364.61933,
2015,SE,Sweden,126.3,798,7145.29614,17.0
2015,UK,United Kingdom,121.3,,,
2016,BE,Belgium,115.9,5766,116651.1434,129.0
2016,BG,Bulgaria,125.8,13325,48359.3983,0.0
2016,CZ,Czechia,121.2,8634,124770.7179,62.0
2016,DK,Denmark,106,1650,53637.8889,
